0	0	0
0	0	0
0	0	0
241.5	239.5	241.5
241.5	239.5	241.5
241.714	239.714	241.714
241.714	239.714	241.714
241.714	239.714	241.714
241.8	239.8	241.8
215.895	241.695	253.905
215.152	242.152	254.076
241.8	239.8	241.8
237.192	242.385	241.769
214.941	233.867	239.08
207.003	216.618	219.734
205.052	209.987	209.342
203.843	207.574	207.72
211.711	220.711	218.711
193.04	197.785	191.773
177.165	181.904	175.05
149.42	154.248	143.622
141.957	146.095	138.7
145.747	150.479	141.861
137.431	140.811	129.545
140.433	139.859	126.994
132.211	133.807	124.06
130.508	132.319	121.376
118.944	119.541	111.084
113.358	110.207	98.9706
111.742	104.095	92.8363
116.151	108.43	95.3167
118.889	104.481	90.673
131.805	109.67	99.9952
123.13	103.647	94.2005
129.787	99.5403	88.5423
138.059	100.6	91.0385
153.72	109.867	100.73
152.635	109.045	100.419
161.518	115.398	111.492
156.33	109.014	102.491
156.702	109.319	103.255
161.69	111.273	103.055
169.754	117.316	113.478
159.831	109.936	107.062
160.808	110.62	107.445
158.092	107.353	102.101
157.582	106.397	101.497
167.055	112.621	109.526
162.473	111.249	110.553
156.063	105.115	101.753
156.017	104.268	101.959
163.002	109.508	105.379
164.943	111.906	111.164
164.958	112.507	111.493
155.119	105.416	102.451
155.61	104.876	103.839
158.536	106.001	102.638
165.329	111.494	110.899
155.011	105.478	104.563
155.538	105.895	105.364
154.979	103.775	100.88
154.618	103.686	101.261
164.194	109.518	107.948
157.803	107.651	108.049
158.709	108.428	108.799
153.476	103.51	102.093
162.195	108.78	106.661
160.96	109.683	109.755
161.246	109.741	109.388
152.302	103.248	101.57
152.954	103.103	102.666
158.458	105.674	103.651
163.247	108.934	110.645
152.608	103.699	102.688
153.126	103.908	103.608
156.138	104.584	102.183
155.354	104.463	102.44
164.101	110.334	109.686
154.032	105.401	105.389
154.088	103.61	101.239
153.237	102.774	100.846
162.306	108.664	107.305
155.384	106.39	106.685
156.247	106.827	107.041
152.021	102.423	99.6259
152.212	102.136	100.431
160.416	106.868	105.611
159.219	108.508	109.02
152.225	102.804	100.298
152.293	103.223	101.096
158.765	105.731	104.811
161.324	109.574	109.805
161.215	109.172	109.409
